时间戳记,name,age,gender,alcoholic beverage,grade,time,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10
2023-11-24 上午04:50:31,TEST,20,female,no,6,217.2388165,1,1,1,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-25 下午09:20:13,ynzx,19,female,no,6,234.9373572,1,1,1,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-27 下午09:31:33,YLYT,21,female,no,8,182.8657689,1,1,1,1,1,1,1,0,1,0
2023-11-27 下午11:13:38,vgat,21,female,no,1,95.17158294,0,1,1,0,0,0,0,0,0,0
2023-11-27 下午11:49:41,YCBH,20,female,no,3,194.9960711,0,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-27 下午11:51:59,CYNT,20,female,no,4,184.4953277,1,1,1,1,0,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-28 上午12:09:54,CTCT,21,female,no,3,191.042505,1,1,1,0,0,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-29 上午05:45:42,LQEG,20,female,no,0,265.8899498,0,0,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-29 上午06:56:23,KBMS,19,female,no,5,197.9463534,1,1,0,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-29 下午07:28:17,JPJP,19,female,no,7,199.0531819,1,1,0,1,1,1,1,1,Not Answered,Not Answered
2023-11-30 上午12:44:44,YKJL,21,female,no,3,193.6462905,1,1,0,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-30 上午02:04:35,MCHC,19,male,no,6,233.2271214,1,0,1,1,1,1,1,Not Answered,Not Answered,Not Answered
2023-11-30 上午04:06:36,AADY,20,male,no,1,68.64886689,0,0,0,0,0,0,0,1,0,0
2023-11-30 上午06:02:39,NAAS,22,female,no,2,180.5670393,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-30 上午08:12:24,FZHF,19,male,no,6,187.8713791,1,1,1,1,0,1,1,Not Answered,Not Answered,Not Answered
2023-11-30 下午09:46:01,AFHY,19,female,no,0,54.72509241,0,0,0,0,0,0,0,0,0,0
2023-12-1 下午10:24:39,MKBP,18,female,no,4,192.8681934,1,0,1,1,0,1,0,Not Answered,Not Answered,Not Answered
2023-12-1 下午10:49:30,MRMR,20,male,no,8,195.0451291,1,1,1,1,1,1,1,0,1,Not Answered
2023-12-2 上午05:56:25,MGRG,20,male,no,1,128.7536361,0,0,0,0,0,0,1,0,0,0
2023-12-2 上午05:57:29,AFHY,19,female,no,1,95.75497627,0,0,1,0,0,0,0,0,0,0
2023-12-2 上午07:07:06,OCCL,19,male,no,6,186.9208405,1,0,1,1,1,1,1,0,Not Answered,Not Answered
2023-12-2 上午10:35:57,RSWS,19,male,no,6,193.7992883,1,1,1,1,1,1,0,Not Answered,Not Answered,Not Answered
2023-12-2 下午08:20:08,QAMF,19,male,no,6,182.6837416,1,1,1,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-3 下午07:29:18,MMMM,20,male,no,6,167.1250114,1,1,1,1,1,0,1,0,0,0
2023-12-3 下午09:26:48,WYNN,20,female,no,5,200.8395946,1,0,1,1,1,1,0,Not Answered,Not Answered,Not Answered
2023-12-4 上午02:44:45,DSDS,19,female,yes,5,56.75707936,1,0,0,1,1,1,0,0,0,1
2023-12-4 上午04:21:38,CGCB,20,female,no,3,188.7564652,1,0,1,1,0,0,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-4 上午06:34:56,KYZX,19,male,no,2,76.75530624,1,0,0,0,0,0,0,1,0,0
2023-12-4 上午10:02:07,XJFB,20,female,yes,8,142.9913507,1,1,1,1,0,1,1,0,1,1
2023-12-4 上午11:04:37,MCWK,20,female,no,5,183.7173009,1,0,1,1,0,1,1,Not Answered,Not Answered,Not Answered
2023-12-4 下午05:02:45,HSUO,19,female,yes,6,188.9573855,1,0,1,1,1,1,1,0,0,Not Answered
2023-12-4 下午05:07:45,NSBK,19,male,no,5,152.8478687,1,1,1,0,1,1,0,0,0,0
2023-12-4 下午05:16:09,CKSB,19,female,no,4,181.9746335,0,1,1,0,1,0,1,Not Answered,Not Answered,Not Answered
2023-12-4 下午06:07:50,YLYT,21,female,no,7,182.8583956,1,1,1,1,0,1,1,0,1,Not Answered
2023-12-4 下午10:45:16,AFHY,19,female,no,5,243.8786371,1,1,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-4 下午10:58:01,TLTS,19,male,no,4,212.8687546,1,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-5 上午12:51:18,RHJM,20,male,no,3,196.4742241,0,1,1,0,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-5 上午01:24:31,JCBC,19,male,no,7,175.4305584,1,1,1,1,0,1,1,0,1,0
2023-12-5 上午01:47:13,HAHA,20,male,no,6,208.5957563,1,1,1,1,0,1,1,0,0,Not Answered
2023-12-5 上午01:58:19,SKHJ,19,female,no,6,223.7062948,1,1,1,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-5 上午01:58:19,ABAB,20,male,no,7,183.5206368,1,1,1,1,0,1,1,0,1,Not Answered
2023-12-5 上午02:00:00,FWNO,20,male,no,3,197.5735152,0,0,1,1,0,1,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-5 上午02:45:56,WWWW,18,female,no,4,183.4328113,1,0,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-5 上午03:07:27,KKXX,20,male,no,3,226.5514355,1,1,0,1,0,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-5 上午03:33:08,KKX1,20,male,no,5,183.4529893,1,1,1,1,0,1,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-5 上午03:37:15,CNDB,18,male,no,1,184.4988248,1,0,0,0,0,0,0,Not Answered,Not Answered,Not Answered
2023-12-5 上午09:28:24,CJTY,21,male,no,4,225.5519912,1,0,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-5 下午02:58:26,TRLO,20,male,no,5,258.6280046,1,1,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-5 下午10:55:04,XTTR,21,male,no,6,182.4943645,1,1,1,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-6 下午07:26:22,CLTC ,21,male,no,4,187.4599488,1,0,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-6 下午09:42:09,YXTH ,21,female,no,5,191.3857977,1,1,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-7 上午01:12:32,GXLR,19,female,no,5,239.7927928,1,1,0,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-7 上午03:25:26,BWHA,23,male,no,4,195.4971194,1,1,0,0,1,1,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-7 上午04:06:33,FGFG,20,male,no,4,186.4240716,1,1,1,1,0,0,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-7 上午05:30:31,SHAR,21,female,no,5,208.5791731,1,0,1,1,1,0,1,Not Answered,Not Answered,Not Answered
2023-12-7 上午06:54:08,ABCD,23,female,no,6,149.4771469,1,0,1,1,1,0,1,1,0,0
2023-12-7 上午08:19:07,JUVE,20,male,no,2,226.5811858,1,0,0,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-7 下午04:58:32,WYCM,25,female,no,2,212.4381564,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-7 下午06:42:34,DXTC,20,female,no,4,194.4491198,1,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-7 下午08:05:59,PENG,22,male,no,2,210.5601919,0,0,0,0,1,0,0,0,1,Not Answered
2023-12-7 下午10:41:24,TTTT,20,male,no,2,196.4458628,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-7 下午10:48:22,TTTT,20,male,no,6,204.5058322,1,1,0,1,1,1,1,Not Answered,Not Answered,Not Answered
2023-12-8 上午12:23:49,DXEW,20,male,no,5,189.4738805,1,1,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-8 上午01:01:24,YAGE,20,female,n o,3,204.5117984,0,1,0,0,1,1,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-8 上午01:05:36,YAGE,20,female,no,3,198.4846156,0,0,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-8 上午09:12:22,MCGH,28,female,no,3,198.4268506,1,0,1,1,0,0,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-8 下午05:50:06,ZQTC,54,female,no,2,181.4480472,1,1,0,0,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-8 下午09:07:10,JCPB,19,male,yes,4,100.8822632,1,0,0,1,1,1,0,0,0,0
2023-12-9 下午12:05:33,QQQQ,20,male,no,3,210.5427513,1,0,1,1,0,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-9 下午02:55:43,XIED,20,male,no,8,93.34219313,1,1,1,1,1,1,1,1,0,0
2023-12-9 下午04:21:48,DXEW,20,male,no,6,185.518652,1,0,1,1,1,1,1,Not Answered,Not Answered,Not Answered
2023-12-9 下午06:39:23,GJSY,10,male,no,6,182.543741,1,1,0,1,1,0,1,1,0,Not Answered
2023-12-9 下午08:31:23,ABCD,18,female,no,0,229.5408826,0,0,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-9 下午10:35:00,XDCL,55,male,yes,4,199.510258,0,1,1,0,1,1,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-9 下午10:55:50,ZQTC,54,female,no,2,207.5925734,0,1,0,0,1,0,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-10 上午03:23:56,BUZZ,22,male,no,2,213.4853938,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-10 上午03:29:23,BUZZ,22,male,no,4,276.635484,1,1,0,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-10 上午04:19:27,NMCF,20,m,no,4,219.530539,1,0,0,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-10 上午06:52:47,YODO,20,male,no,5,180.8044775,1,1,1,1,0,1,0,Not Answered,Not Answered,Not Answered
2023-12-10 上午07:07:09,ESSG,19,female,no,4,188.490973,0,1,1,0,1,1,0,Not Answered,Not Answered,Not Answered
2023-12-10 上午07:09:16,YHWH_ANGUS_CHUNG,24,m,no,4,210.5425124,1,0,1,1,1,0,0,Not Answered,Not Answered,Not Answered
2023-12-10 上午07:09:27,SWKR,19,male,no,5,190.8013511,1,0,0,1,1,1,1,0,Not Answered,Not Answered
2023-12-10 上午08:34:23,ZXCV,20,female,no,6,195.0067058,1,1,1,1,1,1,0,0,Not Answered,Not Answered
2023-12-10 下午12:29:40,HJJ10,20,male,no,3,224.5363822,1,0,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-10 下午04:28:26,JMJH,24,female,no,2,201.495445,0,0,1,1,0,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-10 下午11:05:24,LKBA,20,m,no,4,193.3674059,1,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-11 上午04:19:26,SYXS,19,female,no,2,84.66467452,0,0,1,0,0,0,0,0,1,0
2023-12-11 上午08:18:41,KILM,19,female,no,5,201.8999243,1,0,1,1,1,1,0,0,Not Answered,Not Answered
2023-12-11 上午10:50:13,SANY,25,male,no,7,202.544838,1,1,1,1,1,1,1,Not Answered,Not Answered,Not Answered
2023-12-12 上午02:51:13,JLJC,26,m,yes,4,175.4800913,1,1,1,0,0,0,0,1,0,0
2023-12-12 上午08:45:53,1,1,1,1,3,61.64720726,0,1,1,0,0,0,0,0,1,0
2023-12-12 上午08:47:34,1,1,1,1,3,57.45487475,0,1,1,0,0,0,0,0,1,0
2023-12-12 上午08:49:52,1,1,1,1,2,51.62166715,0,0,1,0,0,0,0,0,1,0
2023-12-12 上午09:20:38,QQQQ,20,female,no,3,60.53372622,0,0,1,0,0,0,0,1,1,0
2023-12-12 下午08:32:20,AAAA,20,female,no,40,46.34252644,0,0,1,1,0,0,1,1,0,0
2023-12-12 下午08:37:45,BBBB,20,female,no,40,50.65783978,0,1,1,0,0,0,0,1,1,0
2023-12-12 下午08:45:41,BBBB,20,female,no,25,241.8897824,0,0,1,0,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-12 下午11:23:23,DCKH,20,m,no,1,180.4366472,0,0,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-12-13 下午09:26:21,NCNC,n,male,n,10,59.33748317,0,0,1,0,0,0,0,0,0,0